transaction_id,user_id,receiver_id,amount,timestamp,is_fraud,new_device_flag,ip_location_mismatch,failed_attempts_last_24h,transaction_velocity,amount_deviation_score
TXN0000032,USR00561,USR00997,439.48,19-06-2024 11:00,0,0,0,3,0,0.3754
TXN0000033,USR00475,MRC0342,56.33,18-04-2024 05:00,1,0,0,1,1,0.648
TXN0000034,USR01966,MRC0277,365.89,27-07-2024 21:44,0,0,1,1,0,0.0886
TXN0000035,USR01170,MRC0219,237.62,11-10-2024 07:34,0,0,0,0,2,0.0101
TXN0000036,USR00246,MRC0228,147.26,11-12-2024 04:57,0,0,0,2,4,0.2978
TXN0000037,USR00725,MRC0041,569.69,16-10-2024 01:10,0,0,0,0,0,2.14
TXN0000038,USR01051,MRC0345,3893.12,28-10-2024 18:35,0,0,0,2,0,3.6392
TXN0000039,USR01068,MRC0163,370.05,14-03-2024 22:38,0,0,0,2,0,0.3234
TXN0000040,USR00281,MRC0301,199.33,26-05-2024 02:31,0,0,0,0,0,0.2506
TXN0000041,USR01018,MRC0145,1021.33,21-02-2024 04:23,0,0,0,3,2,0.586
TXN0000042,USR00138,USR01005,3071.59,04-08-2024 14:29,0,0,0,0,0,0.5513
TXN0000043,USR00481,MRC0327,1096.22,15-05-2024 10:09,0,0,0,0,0,0.0297
TXN0000044,USR00994,MRC0251,519.65,05-11-2024 10:12,0,0,0,0,0,0.0527
TXN0000045,USR01837,USR01547,426.82,23-10-2024 16:24,0,0,0,0,0,0.7873
TXN0000046,USR00654,MRC0339,1881.33,14-02-2024 02:14,0,0,0,0,2,0.913
TXN0000047,USR01231,MRC0211,288.4,23-09-2024 21:22,0,0,0,0,2,0.4133
TXN0000048,USR01581,USR00662,1017.44,11-04-2024 14:20,0,0,0,1,0,0.122
TXN0000049,USR00995,MRC0373,439.85,26-03-2024 00:44,0,0,0,0,0,0.5436
TXN0000050,USR00423,MRC0400,1120.43,30-08-2024 20:05,0,0,0,0,0,0.1786
TXN0000051,USR00044,MRC0195,1434.43,05-02-2024 01:12,1,0,0,0,1,0.0603
TXN0000052,USR00432,MRC0186,1010.83,26-07-2024 22:58,0,0,0,0,2,
TXN0000053,USR01866,MRC0192,2346.8,08-05-2024 17:49,0,0,0,0,0,1.3147
TXN0000054,USR01079,MRC0053,1873.03,13-07-2024 18:18,0,0,0,0,0,0.8444
TXN0000055,USR00507,MRC0018,1621.31,15-04-2024 19:29,0,0,0,0,0,0.9829
TXN0000056,USR01766,MRC0044,634.75,30-01-2024 17:17,0,0,0,1,0,0.2902
TXN0000057,USR01239,MRC0078,896.7,07-02-2024 02:39,0,0,0,0,0,0.0079
TXN0000058,USR01050,MRC0381,216.98,10-01-2024 02:24,0,0,0,0,3,0.0225
TXN0000059,USR00880,USR00191,1213.54,27-03-2024 07:32,0,0,0,0,2,0.3253
TXN0000060,USR00036,MRC0255,1957.65,09-10-2024 13:19,0,0,0,0,0,2.195
TXN0000061,USR00814,USR01580,658.48,31-03-2024 03:28,0,0,0,0,0,0.2597
TXN0000062,USR00172,USR00196,134.9,05-08-2024 19:49,0,0,0,0,0,0.6135
TXN0000063,USR00970,USR01072,469.59,07-10-2024 19:09,0,0,0,0,0,0.4588
TXN0000064,USR01709,MRC0078,827.2,15-01-2024 04:17,0,0,0,0,0,0.1367
TXN0000065,USR01628,USR01001,1799.33,30-07-2024 21:15,0,0,0,0,0,2.4395
TXN0000066,USR01515,MRC0376,2212.1,01-02-2024 15:01,1,0,0,0,0,6.6298
TXN0000067,USR00249,MRC0086,334.84,17-03-2024 15:35,0,0,0,0,0,
TXN0000068,USR00998,USR00287,317.53,17-10-2024 21:07,0,0,0,0,0,0.1958
TXN0000069,USR01803,MRC0347,2256.05,15-04-2024 06:54,0,0,0,0,0,0.1525
TXN0000070,USR00419,MRC0315,84.3,04-10-2024 11:23,0,0,0,0,0,0.5302
TXN0000071,USR01746,MRC0070,102.67,04-03-2024 18:48,0,0,0,0,0,0.5454
TXN0000072,USR00012,USR00639,2092.43,29-09-2024 10:07,0,0,0,0,0,0.5738
TXN0000073,USR00321,MRC0035,543.34,16-05-2024 02:27,0,0,0,0,0,0.5277
TXN0000074,USR01867,MRC0219,2273.28,14-08-2024 23:38,0,0,0,1,3,0.4495
TXN0000075,USR00415,USR00159,1210.22,18-08-2024 03:47,0,0,0,0,0,0.7739
TXN0000076,USR01203,MRC0331,185.96,24-10-2024 12:08,0,0,0,1,0,0.7383
TXN0000077,USR01262,MRC0343,630.39,19-12-2024 02:38,0,0,0,1,4,0.174
TXN0000078,USR00301,USR00294,137.02,05-03-2024 00:13,1,0,1,0,3,0.8521
TXN0000079,USR00872,USR01362,439.07,02-07-2024 04:27,0,0,0,0,0,0.3248
TXN0000080,USR00972,MRC0182,79.14,01-05-2024 01:49,0,0,0,0,0,0.5969
TXN0000081,USR01298,MRC0143,107.01,03-10-2024 06:14,0,0,0,0,0,0.7687
TXN0000082,USR01843,MRC0223,2175.92,10-09-2024 05:56,0,0,1,0,0,2.6551
TXN0000083,USR00438,MRC0316,475,05-08-2024 09:39,0,0,0,0,0,0.2493
TXN0000084,USR00402,MRC0227,697.23,20-05-2024 04:41,0,0,1,0,0,1.9711
TXN0000085,USR01888,USR00027,521.43,23-08-2024 15:32,0,0,0,0,0,0.5534
TXN0000086,USR00562,MRC0321,234.92,23-01-2024 05:23,0,0,0,2,2,0.6803
TXN0000087,USR01005,MRC0089,481.89,02-07-2024 20:51,0,0,0,0,0,0.687
TXN0000088,USR01461,MRC0079,171.68,01-10-2024 01:02,0,0,0,0,0,0.6308
TXN0000089,USR01306,MRC0364,1430.35,25-01-2024 04:54,0,0,0,0,2,0.9107
TXN0000090,USR00682,USR01715,207,17-09-2024 23:24,0,0,0,0,2,0.4726
TXN0000091,USR01058,USR00030,890.58,15-09-2024 01:32,0,0,0,0,0,1.0053
TXN0000092,USR01493,MRC0137,194.48,02-02-2024 14:38,0,0,0,0,0,0.5846
TXN0000093,USR01725,MRC0002,960.5,30-04-2024 20:15,0,0,0,0,0,0.8844
TXN0000094,USR00949,MRC0046,1078.14,15-02-2024 03:38,0,0,0,0,0,1.4529
TXN0000095,USR00347,MRC0006,355.3,25-03-2024 11:29,0,0,0,2,3,0.0175
TXN0000096,USR01931,MRC0098,1184.73,17-10-2024 06:21,0,0,0,0,1,0.0113
TXN0000097,USR00647,USR00848,473.89,28-03-2024 18:06,0,0,0,0,4,0.5515
TXN0000098,USR00190,MRC0251,562.2,17-05-2024 22:16,0,0,0,0,0,0.8773
TXN0000099,USR00076,USR01945,99.62,20-11-2024 04:11,0,0,0,0,4,0.785
TXN0000100,USR01397,MRC0148,631.69,21-03-2024 13:32,0,0,0,0,1,0.0103
TXN0000101,USR00432,MRC0133,487.81,25-03-2024 18:16,0,0,1,0,0,0.2669
TXN0000102,USR01202,USR00662,693.77,24-05-2024 13:55,0,0,0,2,0,1.6048
TXN0000103,USR01846,USR00017,797.99,02-03-2024 15:39,0,0,0,0,0,0.6953
TXN0000104,USR00957,USR01120,225.82,13-03-2024 07:08,0,0,0,0,,0.6589
TXN0000105,USR00970,USR01709,904.78,04-04-2024 14:24,0,0,0,0,0,0.0428
TXN0000106,USR01797,MRC0120,398.11,23-10-2024 09:17,0,0,0,0,0,
TXN0000107,USR01215,MRC0015,713.02,04-03-2024 16:49,0,0,0,2,3,0.3028
TXN0000108,USR01992,USR01164,875.4,18-10-2024 23:45,0,0,0,1,0,0.129
TXN0000109,USR00290,MRC0178,180.07,27-06-2024 03:31,0,0,0,0,0,0.0424
TXN0000110,USR00379,USR00484,4694.06,29-11-2024 02:55,0,0,0,0,0,0.68
TXN0000111,USR00978,MRC0082,333.1,13-05-2024 20:56,0,0,0,0,0,0.234
TXN0000112,USR00950,MRC0362,677.63,04-04-2024 06:31,0,0,0,0,1,0.0329
TXN0000113,USR01840,USR00580,346.09,14-11-2024 09:00,0,0,0,0,0,0.517
TXN0000114,USR01988,MRC0301,219.3,11-01-2024 10:41,0,0,0,1,0,0.2053
TXN0000115,USR01251,MRC0307,3269.2,18-10-2024 22:12,0,0,0,0,0,1.4052
TXN0000116,USR00191,MRC0174,835.17,29-05-2024 03:45,0,0,0,0,0,0.3421
TXN0000117,USR01964,MRC0216,869.26,10-03-2024 17:13,0,0,0,1,0,0.2148
TXN0000118,USR00208,MRC0336,107.23,30-11-2024 22:46,0,0,0,0,0,0.5309
TXN0000119,USR00024,MRC0249,97.5,10-09-2024 22:01,0,0,0,1,0,0.8564
TXN0000120,USR01237,USR01653,3015.42,07-11-2024 15:04,0,0,0,1,1,3.2596
TXN0000121,USR00229,MRC0092,439.45,13-06-2024 16:34,0,0,0,0,0,0.0438
TXN0000122,USR01209,USR00529,1116.35,17-03-2024 17:53,0,0,0,2,0,3.0855
TXN0000123,USR01778,MRC0251,1973.29,27-06-2024 17:50,0,0,0,0,0,0.6853
TXN0000124,USR01678,MRC0013,532.36,29-07-2024 18:46,0,0,0,0,0,0.0508
TXN0000125,USR00229,MRC0183,2006.57,11-10-2024 05:50,1,1,0,0,0,3.7663
TXN0000126,USR01297,MRC0253,1013.18,16-06-2024 10:08,0,0,0,0,0,0.1
TXN0000127,USR01910,MRC0376,250.26,14-11-2024 15:28,0,0,0,0,0,0.2341
TXN0000128,USR01307,MRC0052,308.39,28-05-2024 07:41,0,0,0,0,0,0.791
TXN0000129,USR00377,MRC0383,44.94,09-04-2024 18:05,0,0,0,0,2,0.7932
TXN0000130,USR01170,MRC0134,535.85,27-04-2024 18:02,0,0,0,1,0,1.2778
TXN0000131,USR00441,MRC0390,430.71,29-12-2024 07:17,0,0,0,1,0,0.0834
TXN0000132,USR01864,MRC0093,2667.89,20-09-2024 09:21,0,0,1,0,1,0.2988
TXN0000133,USR00948,MRC0307,1455.3,02-11-2024 21:44,0,0,0,0,0,0.019
TXN0000134,USR00590,USR01492,238.34,03-10-2024 12:38,0,0,0,0,0,0.1202
TXN0000135,USR01143,MRC0007,134.58,13-05-2024 04:31,0,0,0,0,0,0.4352
TXN0000136,USR01429,MRC0088,1256.38,18-09-2024 08:41,0,0,0,0,0,0.1729
TXN0000137,USR00708,MRC0043,240.89,21-03-2024 14:31,0,0,0,0,1,0.3602
TXN0000138,USR00320,USR01280,403.86,15-08-2024 04:00,1,0,0,0,4,0.6266
TXN0000139,USR01140,MRC0381,637.66,09-07-2024 14:11,0,0,0,0,0,0.4416
TXN0000140,USR00811,USR00448,964.07,23-03-2024 01:30,0,0,0,0,0,0.2779
TXN0000141,USR00822,USR01127,2795.3,07-06-2024 15:38,0,0,0,2,0,1.4725
TXN0000142,USR01361,MRC0352,292.07,02-09-2024 21:07,0,0,0,0,0,0.3864
TXN0000143,USR00951,USR00587,1400.3,16-11-2024 20:10,1,0,0,2,0,0.4671
TXN0000144,USR01563,MRC0238,152.38,11-09-2024 20:08,0,0,0,0,0,0.0965
TXN0000145,USR01304,MRC0015,40.04,28-08-2024 08:20,0,0,0,0,0,0.8932
TXN0000146,USR00047,USR00666,763.36,24-08-2024 19:51,0,0,0,0,0,0.1674
TXN0000147,USR01810,MRC0335,215.77,31-05-2024 04:54,0,0,0,1,0,0.7751
TXN0000148,USR00359,USR00968,246.95,29-12-2024 22:47,0,0,0,0,0,0.2435
TXN0000149,USR00941,MRC0126,926.44,22-09-2024 12:16,0,0,0,1,4,
TXN0000150,USR01238,USR01716,316.48,08-05-2024 15:33,0,0,0,0,1,0.6549
TXN0000151,USR01397,MRC0347,850.53,06-06-2024 19:25,0,0,0,2,0,0.3603
TXN0000152,USR01467,MRC0276,85.04,16-02-2024 23:38,0,0,0,4,1,0.0332
TXN0000153,USR00123,USR00600,2408.82,11-11-2024 05:14,0,0,0,1,0,1.0351
TXN0000154,USR01331,MRC0226,2730.99,15-06-2024 10:44,0,0,0,1,1,1.0271
TXN0000155,USR01479,MRC0087,847.02,22-05-2024 07:41,0,0,0,2,1,0.6797
TXN0000156,USR01315,USR01421,2289.83,29-01-2024 18:22,0,0,0,1,1,0.9924
TXN0000157,USR00678,MRC0231,1963.63,28-09-2024 16:23,0,0,0,0,0,0.4436
TXN0000158,USR01803,USR00760,1615.9,06-08-2024 20:34,0,0,0,3,0,0.1745
TXN0000159,USR00901,MRC0345,289.34,24-04-2024 12:28,0,0,0,0,0,0.1711
TXN0000160,USR00467,MRC0015,349.21,26-11-2024 11:08,0,0,0,0,0,0.4577
TXN0000161,USR01059,USR00832,1705.72,04-07-2024 05:43,0,0,0,0,0,0.5587
TXN0000162,USR00767,MRC0194,293.93,02-12-2024 02:11,0,0,0,2,0,0.33
TXN0000163,USR01370,MRC0034,540.68,12-05-2024 23:05,0,0,0,0,0,0.4833
TXN0000164,USR00404,USR00731,198.26,12-07-2024 17:03,0,0,0,2,1,0.334
TXN0000165,USR01074,MRC0117,172.45,14-10-2024 22:08,0,0,0,0,0,0.5716
TXN0000166,USR01134,MRC0274,773.44,24-11-2024 18:56,0,0,0,4,0,0.3001
TXN0000167,USR00525,MRC0379,604.32,11-03-2024 22:44,0,0,0,0,0,0.2534
TXN0000168,USR01248,USR00545,215.36,02-08-2024 08:47,0,0,0,1,2,1.0011
TXN0000169,USR00621,MRC0032,319.37,21-03-2024 16:12,0,0,0,0,0,0.4915
TXN0000170,USR00654,USR01618,846.94,03-09-2024 04:25,0,0,0,0,0,0.1388
TXN0000171,USR01226,MRC0250,130.35,26-04-2024 11:50,0,0,0,2,0,0.5622
TXN0000172,USR00399,MRC0302,449.89,08-11-2024 22:16,0,0,0,5,0,0.27
TXN0000173,USR01293,MRC0091,662.43,07-05-2024 15:08,0,0,0,3,0,0.7488
TXN0000174,USR00564,USR01389,609.68,05-08-2024 23:21,0,0,0,0,1,0.4386
TXN0000175,USR01830,USR01996,301.79,16-07-2024 21:19,0,0,0,0,0,0.3448
TXN0000176,USR00908,MRC0176,66.38,04-09-2024 17:30,0,0,0,0,0,0.2089
TXN0000177,USR00626,MRC0164,833.92,24-10-2024 15:33,0,0,0,0,0,0.0318
TXN0000178,USR00321,MRC0099,264.33,24-10-2024 15:20,0,0,0,0,0,0.2568
TXN0000179,USR00971,MRC0335,101.18,19-08-2024 03:56,0,0,0,0,3,0.6351
TXN0000180,USR00622,MRC0190,550.27,26-02-2024 07:22,0,0,0,1,0,0.1332
TXN0000181,USR01562,MRC0214,913.81,03-01-2024 04:52,0,0,0,3,0,0.0541
TXN0000182,USR01571,MRC0141,133.79,08-01-2024 13:33,0,0,0,0,0,0.5221
TXN0000183,USR00876,USR01620,280.6,28-05-2024 12:17,0,0,0,0,0,0.4802
TXN0000184,USR00219,USR00153,853.74,04-04-2024 10:12,0,0,0,3,0,0.6433
TXN0000185,USR01600,MRC0338,4753.64,31-05-2024 11:39,0,0,0,0,0,1.6699
TXN0000186,USR00208,MRC0029,179.63,05-09-2024 09:46,0,0,0,0,0,0.2142
TXN0000187,USR00152,MRC0167,133.82,28-10-2024 01:47,0,0,0,2,0,
TXN0000188,USR00898,MRC0126,527.32,07-05-2024 07:42,0,0,0,0,0,0.6093
TXN0000189,USR01582,MRC0395,125.93,27-01-2024 09:50,0,0,0,1,3,0.4134
TXN0000190,USR01531,MRC0110,2343.42,12-03-2024 12:18,0,0,0,0,0,2.1476
TXN0000191,USR01237,USR01532,777.38,28-12-2024 05:13,0,1,0,0,0,0.0981
TXN0000192,USR01083,MRC0031,83.62,20-12-2024 13:36,0,0,0,0,,0.7354
TXN0000193,USR00670,USR01619,157.9,28-07-2024 06:04,0,0,0,0,1,0.0438
TXN0000194,USR01599,MRC0058,122.73,25-07-2024 12:23,0,0,0,1,0,0.7004
TXN0000195,USR00391,MRC0385,2712.87,29-01-2024 09:11,0,0,0,0,0,1.8709
TXN0000196,USR01333,MRC0170,424.93,29-01-2024 08:38,0,0,0,0,1,0.1043
TXN0000197,USR01822,USR00044,793.02,04-06-2024 21:56,0,0,1,1,0,0.0346
TXN0000198,USR00531,MRC0115,295.33,14-08-2024 22:47,0,0,0,0,0,1.1359
TXN0000199,USR00727,MRC0367,4848.88,02-12-2024 19:17,0,0,0,0,0,2.6152
TXN0000200,USR01935,MRC0021,308.95,29-10-2024 17:07,0,0,0,0,2,0.6912
TXN0000201,USR00414,MRC0156,360.77,04-03-2024 09:57,0,0,0,3,0,0.3479
TXN0000202,USR01841,MRC0226,2271.82,17-02-2024 19:28,0,0,0,0,1,0.7719
TXN0000203,USR00916,USR00899,273.96,04-06-2024 00:36,0,0,0,0,0,0.0838
TXN0000204,USR01185,MRC0371,275.15,19-07-2024 14:05,0,0,0,0,0,0.3148
TXN0000205,USR00649,MRC0213,1994.56,15-03-2024 04:04,0,0,0,0,0,0.4511
TXN0000206,USR00034,MRC0004,254.92,27-05-2024 14:07,0,0,0,1,0,0.0267
TXN0000207,USR00890,MRC0334,137.82,26-04-2024 18:40,0,0,0,0,1,0.7067
TXN0000208,USR01975,USR00563,2223.68,10-10-2024 08:38,0,0,0,0,0,2.53
TXN0000209,USR00319,MRC0072,153.01,26-09-2024 22:31,0,0,1,0,0,0.0179
TXN0000210,USR01265,MRC0213,1326.93,15-11-2024 17:15,0,0,0,3,3,0.1255
TXN0000211,USR00372,USR00748,279.85,07-12-2024 09:35,0,0,0,0,0,0.3263
TXN0000212,USR01724,MRC0136,419.1,29-08-2024 12:39,0,0,0,0,2,0.1366
TXN0000213,USR01872,MRC0209,1951.78,19-01-2024 01:24,0,0,0,1,0,0.3792
TXN0000214,USR00457,MRC0048,203.71,12-06-2024 01:35,0,0,0,0,4,0.3962
TXN0000215,USR00276,MRC0309,3446.98,10-11-2024 08:23,0,0,0,0,2,2.3279
TXN0000216,USR00749,MRC0315,462.51,16-09-2024 14:14,0,0,0,1,2,0.2698
TXN0000217,USR00266,MRC0074,1132.25,28-03-2024 14:17,0,0,0,0,0,0.577
TXN0000218,USR00514,MRC0095,488.76,10-10-2024 12:22,0,0,0,4,0,0.3
TXN0000219,USR01810,MRC0137,549.89,22-10-2024 02:43,0,0,0,0,0,0.4269
TXN0000220,USR01532,MRC0198,604.02,02-09-2024 09:33,1,1,0,0,0,0.5978
TXN0000221,USR00332,MRC0204,644.67,05-05-2024 06:13,0,1,0,1,0,0.0533
TXN0000222,USR00831,MRC0232,781.23,24-03-2024 10:25,0,0,0,0,1,0.1323
TXN0000223,USR00691,MRC0173,656.23,12-12-2024 14:57,0,0,0,2,1,0.6965
TXN0000224,USR01754,MRC0176,589.52,23-10-2024 10:11,0,0,0,0,0,0.344
TXN0000225,USR00466,MRC0235,1013.64,18-11-2024 08:53,0,0,0,0,2,0.8664
TXN0000226,USR01925,USR00170,817.72,02-12-2024 16:43,0,0,0,1,2,0.3646
TXN0000227,USR01394,USR00455,2293.73,28-10-2024 08:01,0,1,0,0,0,0.6884
TXN0000228,USR01076,USR00097,163.84,06-11-2024 18:57,0,0,0,0,4,0.2528
TXN0000229,USR01394,MRC0085,795.49,03-09-2024 13:45,0,0,0,1,1,0.4144
TXN0000230,USR01249,MRC0218,216.73,29-11-2024 07:53,0,0,0,3,0,0.5716
TXN0000231,USR00863,USR01831,982.12,04-07-2024 01:43,0,0,0,3,0,0.2659
TXN0000232,USR00639,MRC0107,1891.9,24-12-2024 11:28,0,0,0,0,1,1.136
TXN0000233,USR00329,MRC0392,92.07,09-11-2024 09:40,0,0,0,0,0,0.7811
TXN0000234,USR00510,MRC0180,295.1,28-01-2024 09:24,0,0,0,0,0,0.4877
TXN0000235,USR01377,MRC0078,356.77,20-03-2024 22:29,0,0,0,1,0,0.311
TXN0000236,USR00211,USR01581,569.54,01-09-2024 02:28,0,0,0,0,1,0.0267
TXN0000237,USR00315,MRC0037,187.31,07-12-2024 20:18,0,0,0,0,0,0.454
TXN0000238,USR01826,MRC0131,622.95,13-02-2024 19:43,0,0,0,0,1,0.2109
TXN0000239,USR00597,USR00461,521.51,22-07-2024 01:12,0,0,0,0,0,0.1078
TXN0000240,USR01362,MRC0254,569.6,20-11-2024 22:41,0,0,0,0,0,0.4547
TXN0000241,USR01501,MRC0142,252.4,17-12-2024 08:42,0,0,0,0,1,0.4773
TXN0000242,USR00208,MRC0366,117.49,09-11-2024 00:23,0,0,0,0,0,0.486
TXN0000243,USR01693,MRC0363,1520.15,08-07-2024 11:12,0,0,0,0,0,0.4635
TXN0000244,USR01233,MRC0056,688.44,17-08-2024 06:23,0,0,0,0,0,0.288
TXN0000245,USR01189,USR01378,3658.4,02-10-2024 11:12,0,0,0,0,1,1.7123
TXN0000246,USR01746,MRC0236,127.81,10-08-2024 15:57,0,0,1,0,1,0.4341
TXN0000247,USR01860,MRC0014,3764.2,24-03-2024 21:38,0,0,1,3,0,2.302
TXN0000248,USR01494,MRC0234,241.35,25-11-2024 21:15,0,0,0,0,0,0.3153
TXN0000249,USR01606,MRC0025,527.99,06-05-2024 00:40,0,0,0,0,1,0.2491
TXN0000250,USR01121,MRC0332,680.32,05-05-2024 00:08,0,0,0,1,0,0.0274
TXN0000251,USR00721,MRC0316,307.21,28-07-2024 00:42,0,0,0,0,1,0.1482
TXN0000252,USR01310,MRC0208,725.89,01-05-2024 12:39,0,0,0,1,0,0.3468
TXN0000253,USR00691,MRC0225,244.46,13-12-2024 21:16,0,0,0,0,0,0.368
TXN0000254,USR01037,USR01435,357.52,06-09-2024 10:44,0,0,0,0,0,0.4182
TXN0000255,USR00186,MRC0365,437.95,20-08-2024 05:28,0,0,0,1,0,0.7088
TXN0000256,USR00273,MRC0198,999.59,10-02-2024 05:51,0,0,0,2,1,1.2463
TXN0000257,USR00664,MRC0116,854.35,20-06-2024 20:44,1,0,0,0,4,0.3174
TXN0000258,USR01424,USR00449,1391.14,05-04-2024 06:50,0,0,0,1,0,2.3627
TXN0000259,USR01757,MRC0314,173.85,06-07-2024 16:26,0,0,0,0,0,0.4803
TXN0000260,USR01190,USR00819,299.39,31-08-2024 14:26,0,0,0,0,0,1.7205
TXN0000261,USR01642,MRC0135,652.19,16-06-2024 12:08,0,0,0,3,0,0.3726
TXN0000262,USR00276,USR00659,685.96,29-11-2024 23:15,0,0,0,1,0,0.3377
TXN0000263,USR01040,USR01451,1218.67,03-07-2024 18:11,0,0,0,1,0,0.8015
TXN0000264,USR02000,MRC0284,153.76,14-11-2024 20:59,0,0,0,0,0,0.6914
TXN0000265,USR00894,USR00133,291.11,07-03-2024 13:00,0,1,0,0,2,0.3209
TXN0000266,USR00131,MRC0350,322.98,17-05-2024 15:21,0,0,0,0,3,0.2886
TXN0000267,USR01006,MRC0221,134.85,30-09-2024 11:47,0,0,0,0,0,0.4224
TXN0000268,USR00624,MRC0170,271.72,31-03-2024 07:39,0,0,0,3,0,0.6878
TXN0000269,USR00645,USR01767,126.2,03-01-2024 15:09,0,0,0,1,0,0.5035
TXN0000270,USR00131,MRC0272,606.7,09-06-2024 16:04,0,0,0,0,0,0.3364
TXN0000271,USR00372,USR00061,315.5,09-09-2024 04:54,0,0,0,0,0,
TXN0000272,USR01404,USR00794,197.3,08-11-2024 14:20,0,0,0,0,0,0.1456
TXN0000273,USR01449,MRC0221,89.02,07-12-2024 09:28,0,0,0,0,0,0.7736
TXN0000274,USR00168,USR00696,296.24,24-06-2024 10:24,0,0,0,0,0,0.4355
TXN0000275,USR00765,MRC0049,238.43,06-03-2024 10:39,0,1,0,0,0,0.2707
TXN0000276,USR01164,MRC0289,291.34,25-05-2024 13:43,0,0,0,0,0,0.2589
TXN0000277,USR00708,MRC0050,350.72,04-12-2024 16:32,0,0,0,0,0,0.0685
TXN0000278,USR01582,USR00364,476.6,16-07-2024 00:38,0,0,0,0,0,1.2202
TXN0000279,USR01927,USR00247,559.42,09-11-2024 11:41,0,0,0,0,0,1.0493
TXN0000280,USR00205,MRC0255,1337.06,16-03-2024 00:22,0,0,0,2,3,0.6382
TXN0000281,USR00797,MRC0230,116.51,15-02-2024 04:45,0,0,0,0,0,0.7974
TXN0000282,USR01627,MRC0207,1575.26,17-01-2024 03:39,0,0,0,2,1,0.011
TXN0000283,USR01719,MRC0303,1967.56,08-02-2024 08:41,0,0,0,0,2,1.6044
TXN0000284,USR01069,MRC0202,2279.22,20-10-2024 23:02,0,0,0,0,0,0.0935
TXN0000285,USR00874,MRC0207,789.01,17-06-2024 23:47,0,0,0,0,0,0.2005
TXN0000286,USR01020,USR01611,1660.82,26-10-2024 07:49,0,0,0,0,1,0.2983
TXN0000287,USR01828,USR01204,140.59,17-10-2024 10:28,0,0,0,0,1,0.6344
TXN0000288,USR00621,MRC0198,1591.2,14-03-2024 02:30,0,0,0,1,0,1.5335
TXN0000289,USR01740,MRC0092,896.48,16-07-2024 13:51,0,0,0,2,0,0.8825
TXN0000290,USR01460,MRC0164,900.03,29-01-2024 08:04,0,0,0,0,0,1.6581
