user_id,age_group,city,city_tier,kyc_status,account_age_days,linked_bank_count,avg_monthly_transactions,avg_transaction_value,preferred_app,preferred_device,user_loyalty_score,is_high_risk_user
USR00199,18-24,Hubli,Tier 3,Verified,119,4,16,392.22,Amazon Pay,Android,0.692,0
USR00200,25-34,Solapur,Tier 3,Verified,230,3,8,292.24,GPay,Android,0.771,0
USR00201,25-34,Varanasi,Tier 3,Verified,1202,2,26,492.96,GPay,Android,0.307,0
USR00202,18-24,Hyderabad,Tier 1,Verified,808,2,46,381.77,Paytm,Android,0.71,0
USR00203,25-34,Surat,Tier 2,Not Verified,590,2,42,497.08,PhonePe,Android,0.913,0
USR00204,55+,Visakhapatnam,Tier 2,Verified,1835,1,30,532.82,GPay,Android,0.428,0
USR00205,25-34,Indore,Tier 2,Verified,1238,1,27,816.2,GPay,iOS,0.474,0
USR00206,45-54,Kolkata,Tier 1,Verified,2204,2,35,1004.89,Paytm,Android,0.345,0
USR00207,18-24,Indore,Tier 2,Verified,2003,4,26,682.63,GPay,Android,0.366,0
USR00208,35-44,Kochi,Tier 2,Verified,501,1,24,228.59,PhonePe,Android,0.168,0
USR00209,18-24,Mysuru,Tier 3,Verified,1657,4,10,98.37,Paytm,iOS,0.824,0
USR00210,18-24,Madurai,Tier 3,Verified,1646,1,21,823.54,GPay,Android,0.583,0
USR00211,45-54,Chennai,Tier 1,Verified,2424,1,30,554.72,PhonePe,Android,0.675,0
USR00212,18-24,Surat,Tier 2,Verified,987,1,32,204.44,Amazon Pay,iOS,0.658,0
USR00213,25-34,Bhopal,Tier 2,Verified,936,2,36,1671.96,Paytm,Android,0.672,0
USR00214,25-34,Chennai,Tier 1,Not Verified,1702,1,52,489.23,GPay,Android,0.141,1
USR00215,25-34,Ahmedabad,Tier 1,Verified,505,1,62,410.14,Paytm,Web,0.899,0
USR00216,25-34,Ahmedabad,Tier 1,Verified,1549,2,61,925.44,PhonePe,Android,0.769,0
USR00217,35-44,Pune,Tier 1,Verified,2435,2,51,1205.53,Paytm,Android,0.239,0
USR00218,25-34,Delhi,Tier 1,Verified,2034,2,20,1152.89,PhonePe,Android,0.945,0
USR00219,25-34,Rajkot,Tier 2,Not Verified,1547,1,32,519.52,BHIM,Android,0.5,0
USR00220,18-24,Jalandhar,Tier 3,Verified,436,4,22,260.45,BHIM,iOS,0.431,0
USR00221,25-34,Warangal,Tier 3,Verified,1499,1,11,250.83,Paytm,Android,0.348,0
USR00222,35-44,Meerut,Tier 3,Verified,1892,1,17,506.35,PhonePe,iOS,0.291,0
USR00223,25-34,Mumbai,Tier 1,Verified,237,2,39,468.65,GPay,Android,0.319,0
USR00224,55+,Hyderabad,Tier 1,Verified,311,3,44,1138.12,GPay,Android,0.599,0
USR00225,18-24,Chandigarh,Tier 2,Verified,984,1,34,240.89,Paytm,Android,0.233,0
USR00226,35-44,Mumbai,Tier 1,Verified,1165,3,47,694.36,WhatsApp Pay,Android,0.23,0
USR00227,18-24,Chennai,Tier 1,Verified,744,1,49,583.17,GPay,Android,0.88,0
USR00228,45-54,Jalandhar,Tier 3,Verified,1004,2,23,127.18,PhonePe,Android,0.114,0
USR00229,45-54,Bengaluru,Tier 1,Verified,1754,2,38,420.99,PhonePe,iOS,0.771,0
USR00230,35-44,Kochi,Tier 2,Verified,1512,2,24,109.86,GPay,Android,0.198,0
USR00231,18-24,Solapur,Tier 3,Verified,207,2,12,304.3,PhonePe,Android,0.918,0
USR00232,18-24,Hubli,Tier 3,Verified,1906,2,15,182.31,Paytm,Android,0.128,0
USR00233,25-34,Chandigarh,Tier 2,Verified,1675,1,32,588.8,Amazon Pay,iOS,0.197,0
USR00234,35-44,Ahmedabad,Tier 1,Verified,331,3,54,634.28,GPay,iOS,0.39,0
USR00235,35-44,Kanpur,Tier 2,Verified,1156,2,32,840.11,PhonePe,Android,0.627,0
USR00236,18-24,Patna,Tier 2,Verified,2476,2,48,564.39,GPay,Android,0.508,0
USR00237,18-24,Lucknow,Tier 2,Verified,498,3,22,1133.56,GPay,Android,0.686,0
USR00238,35-44,Tiruchirappalli,Tier 3,Verified,910,1,24,477.2,GPay,Android,0.899,0
USR00239,55+,Ahmedabad,Tier 1,Verified,1663,1,53,1866.71,PhonePe,Android,0.186,0
USR00240,35-44,Chennai,Tier 1,Verified,1563,4,51,3115.79,GPay,Web,0.718,0
USR00241,25-34,Ranchi,Tier 3,Not Verified,379,1,25,912.45,Paytm,iOS,0.187,0
USR00242,18-24,Kochi,Tier 2,Verified,562,2,20,159.81,PhonePe,Android,0.628,0
USR00243,25-34,Jalandhar,Tier 3,Verified,530,1,19,280.85,Paytm,Android,0.886,0
USR00244,45-54,Amritsar,Tier 3,Verified,240,4,17,367.28,Paytm,Android,0.64,0
USR00245,35-44,Solapur,Tier 3,Verified,2108,1,12,419.19,PhonePe,Web,0.691,0
USR00246,18-24,Ranchi,Tier 3,Verified,1464,3,20,209.72,BHIM,Android,0.431,0
USR00247,45-54,Agra,Tier 2,Verified,956,3,50,991.37,PhonePe,Android,0.861,0
USR00248,35-44,Chandigarh,Tier 2,Not Verified,2310,1,41,778.79,GPay,Android,0.936,0
USR00249,25-34,Chennai,Tier 1,Verified,148,1,62,659.54,GPay,Android,0.732,0
USR00250,35-44,Bhopal,Tier 2,Verified,1467,1,40,360.67,PhonePe,Android,0.883,0
USR00251,18-24,Amritsar,Tier 3,Verified,315,1,10,159.62,GPay,Android,0.67,1
USR00252,55+,Tiruchirappalli,Tier 3,Verified,2202,1,27,243.91,Amazon Pay,Android,0.478,0
USR00253,25-34,Bhopal,Tier 2,Verified,1306,2,40,368.72,GPay,Android,0.799,0
USR00254,35-44,Lucknow,Tier 2,Verified,245,1,43,1732.78,PhonePe,Android,0.779,1
USR00255,35-44,Lucknow,Tier 2,Verified,1144,1,29,1142.84,GPay,Android,0.482,0
USR00256,35-44,Pune,Tier 1,Verified,1148,1,46,2062.67,PhonePe,Android,0.561,0
USR00257,25-34,Delhi,Tier 1,Verified,1190,2,51,374.64,Paytm,Web,0.634,0
USR00258,35-44,Hubli,Tier 3,Verified,216,1,24,439.58,GPay,Android,0.986,0
USR00259,25-34,Mysuru,Tier 3,Verified,1264,3,11,382.13,PhonePe,Android,0.791,0
USR00260,18-24,Chennai,Tier 1,Verified,1373,1,46,294.17,GPay,Web,0.548,0
USR00261,25-34,Bengaluru,Tier 1,Not Verified,1587,2,40,1081.71,BHIM,Android,0.307,0
USR00262,18-24,Surat,Tier 2,Verified,1480,1,29,1505.95,PhonePe,iOS,0.876,1
USR00263,18-24,Jodhpur,Tier 3,Verified,1913,3,20,219.75,Paytm,Web,0.876,0
USR00264,18-24,Pune,Tier 1,Verified,1740,1,33,517.55,Amazon Pay,Android,0.465,0
USR00265,35-44,Bengaluru,Tier 1,Verified,1914,3,37,842.88,GPay,iOS,0.928,0
USR00266,25-34,Delhi,Tier 1,Verified,1026,1,54,717.98,GPay,iOS,0.46,0
USR00267,25-34,Meerut,Tier 3,Not Verified,1300,2,17,215.76,GPay,iOS,0.299,0
USR00268,25-34,Ranchi,Tier 3,Verified,2120,2,19,137.36,PhonePe,Web,0.578,0
USR00269,25-34,Kochi,Tier 2,Verified,1461,1,26,375.68,GPay,iOS,0.962,0
USR00270,25-34,Kanpur,Tier 2,Verified,997,1,33,788.15,GPay,iOS,0.33,0
USR00271,18-24,Kanpur,Tier 2,Verified,338,1,18,502.22,Amazon Pay,iOS,0.796,0
USR00272,25-34,Kochi,Tier 2,Verified,2339,2,35,1787.06,GPay,Android,0.504,0
USR00273,25-34,Solapur,Tier 3,Verified,1353,3,14,444.99,GPay,Android,0.664,0
USR00274,35-44,Delhi,Tier 1,Verified,1950,1,49,730.57,BHIM,iOS,0.373,0
